# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	9469
#@/user_id	cd7a444b-bd10-4f36-b2f9-43f3afd34724
chao1 hao3 wan2 	超好玩	c=1 d=0.57695 t=9469
chao1 hao3 xiao4 	超好笑	c=1 d=0.722527 t=9469
chao1 ji2 	超級	c=1 d=0.923116 t=9469
chao1 jia1 	抄家	c=5 d=1.51658 t=9469
chao1 kao4 bei1 	超靠背	c=1 d=0.140858 t=9469
chao1 kuai4 	超快	c=1 d=0.946485 t=9469
chao1 wo3 	超我	c=1 d=0.847894 t=9469
chao2 gui4 	朝貴	c=1 d=0.0432828 t=9469
che1 	車	c=1 d=0.579842 t=9469
che1 huo4 	車禍	c=1 d=0.235746 t=9469
chen1 chen1 	琛琛	c=1 d=0.0101022 t=9469
chen2 	陳	c=1 d=0.995012 t=9469
chen2 jin4 	沉浸	c=1 d=0.451581 t=9469
chen2 mi2 	沉迷	c=1 d=0.591555 t=9469
chen2 yi4 an1 	陳亦安	c=1 d=0.927743 t=9469
cheng2 	成	c=8 d=1.76617 t=9469
cheng2 dan1 	承擔	c=1 d=0.694197 t=9469
cheng2 jiao1 	成交	c=0 d=0.0628135 t=9469
cheng2 jie4 	懲戒	c=1 d=0.045502 t=9469
cheng2 jiu4 	成就	c=3 d=1.54336 t=9469
cheng2 li3 ren2 	城裏人	c=1 d=0.995012 t=9469
cheng2 shi4 	城市	c=4 d=0.970446 t=9469
cheng2 shi4 	程式	c=10 d=5.77803 t=9469
cheng2 wei2 	成爲	c=1 d=0.179066 t=9469
chi1 	喫	c=15 d=3.54671 t=9469
chi1 dao4 	喫到	c=1 d=0.491644 t=9469
chi1 gua1 	喫瓜	c=3 d=1.54279 t=9469
chi1 ni4 	喫膩	c=0 d=0.0522046 t=9469
chi1 ni4 li3 	喫膩裏	c=1 d=0.524663 t=9469
chong1 tang2 	衝堂	c=1 d=0.431711 t=9469
chong1 tu1 	衝突	c=2 d=1.02404 t=9469
chong2 	重	c=2 d=0.992087 t=9469
chong2 fu4 	重複	c=1 d=0.00640933 t=9469
chong2 kai1 	重開	c=9 d=5.64906 t=9469
chong2 xin1 	重新	c=3 d=1.06271 t=9469
chong3 wu4 	寵物	c=2 d=0.985112 t=9469
chou1 	抽	c=1 d=0.891366 t=9469
chou1 dao4 	抽到	c=2 d=1.12594 t=9469
chou4 	臭	c=3 d=0.57048 t=9469
chou4 ren2 	臭人	c=1 d=0.179964 t=9469
chu1 	出	c=1 d=0.264477 t=9469
chu1 kou3 	出口	c=1 d=1 t=9469
chu1 lai2 	出來	c=5 d=0.597743 t=9469
chu1 lai2 le5 	出來了	c=1 d=0.0958472 t=9469
chu1 men2 	出門	c=1 d=0.99005 t=9469
chu1 qu4 	出去	c=2 d=1.33393 t=9469
chu1 sheng1 	出生	c=1 d=0.694197 t=9469
chu1 sheng1 di4 	出生地	c=1 d=0.299692 t=9469
chu1 xian4 	出現	c=3 d=1.71299 t=9469
chu2 cun2 	儲存	c=2 d=1.40039 t=9469
chu2 fei1 	除非	c=3 d=1.47112 t=9469
chu2 le5 	除了	c=2 d=1.43404 t=9469
chu3 li3 	處理	c=7 d=1.7712 t=9469
chu4 	處	c=1 d=0.0169075 t=9469
chu4 	觸	c=2 d=0.0575708 t=9469
chu4 fa1 	觸發	c=1 d=0.826959 t=9469
chuan2 	傳	c=4 d=1.92712 t=9469
chuan2 de5 	傳的	c=1 d=0.960789 t=9469
chuan2 song4 	傳送	c=7 d=1.42997 t=9469
chuan2 song4 men2 	傳送門	c=1 d=0.104874 t=9469
chuan2 song4 shi2 	傳送石	c=1 d=0.362402 t=9469
chuan2 tong3 	傳統	c=1 d=0.481909 t=9469
chuang2 	牀	c=2 d=0.379218 t=9469
chuang2 shang4 	牀上	c=1 d=0.431711 t=9469
chuang3 	闖	c=1 d=0.0213864 t=9469
chuang4 	創	c=1 d=0.995012 t=9469
chui2 zi5 	錘子	c=6 d=2.69659 t=9469
chun2 xie3 	純血	c=1 d=0.771052 t=9469
chun3 	蠢	c=1 d=0.12307 t=9469
ci4 	次	c=2 d=0.216774 t=9469
ci4 ji1 	刺激	c=1 d=0.396531 t=9469
cong2 	從	c=3 d=1.03373 t=9469
cong2 lai2 	從來	c=1 d=0.946485 t=9469
cong2 lai2 mei2 	從來沒	c=1 d=0.960789 t=9469
cun1 	村	c=1 d=0.67032 t=9469
cun1 min2 	村民	c=4 d=0.955997 t=9469
cun1 zhuang1 	村莊	c=4 d=1.26159 t=9469
cun2 qian2 	存錢	c=3 d=2.68348 t=9469
cun2 zai4 	存在	c=1 d=0.937067 t=9469
cuo4 guo4 	錯過	c=2 d=1.38857 t=9469
cuo4 jue2 	錯覺	c=1 d=0.865022 t=9469
cuo4 le5 	錯了	c=2 d=1.56622 t=9469
da2 an4 	答案	c=1 d=0.715338 t=9469
da3 	打	c=31 d=5.16078 t=9469
da3 bai4 	打敗	c=0 d=0.022091 t=9469
da3 bai4 le5 	打敗了	c=1 d=0.222017 t=9469
da3 bu5 guo4 	打不過	c=2 d=0.900257 t=9469
da3 dao4 	打到	c=3 d=0.697676 t=9469
da3 guai4 	打怪	c=1 d=0.701173 t=9469
da3 huo3 shi2 	打火石	c=1 d=0.501576 t=9469
da3 kai1 	打開	c=1 d=0.718924 t=9469
da3 kong3 ji1 	打孔機	c=2 d=1.4972 t=9469
da3 le5 	打了	c=1 d=0.355226 t=9469
da3 li3 	打理	c=1 d=0.909373 t=9469
da3 mo2 	打磨	c=3 d=1.44513 t=9469
da3 sao3 	打掃	c=1 d=0.737123 t=9469
da3 si3 	打死	c=3 d=0.83527 t=9469
da3 suan4 	打算	c=2 d=1.55475 t=9469
da4 	大	c=7 d=2.66489 t=9469
da4 ba3 	大把	c=1 d=0.444858 t=9469
da4 bai4 	大敗	c=1 d=0.980199 t=9469
da4 bao4 zha4 	大爆炸	c=1 d=0.88692 t=9469
da4 bu4 fen4 	大部分	c=1 d=0.522046 t=9469
da4 chui2 	大錘	c=1 d=0.839457 t=9469
da4 er4 	大二	c=2 d=1.26592 t=9469
da4 fan4 wei2 	大範圍	c=1 d=0.900325 t=9469
da4 fu2 	大福	c=3 d=0.989217 t=9469
da4 gai4 	大概	c=6 d=1.2252 t=9469
da4 kan3 dao1 	大砍刀	c=2 d=0.817596 t=9469
da4 men2 	大門	c=1 d=0.99005 t=9469
da4 sheng4 	大乘	c=1 d=0.615697 t=9469
da4 shi1 	大師	c=1 d=0.790571 t=9469
da4 suan4 	大蒜	c=1 d=0.562705 t=9469
da4 tui1 	大推	c=1 d=0.802519 t=9469
da4 xiang1 zi3 	大箱子	c=1 d=0.733447 t=9469
da4 xue2 	大學	c=2 d=0.980199 t=9469
da4 yi1 	大一	c=2 d=0.934057 t=9469
dai4 	代	c=1 d=0.690734 t=9469
dai4 	帶	c=5 d=1.89534 t=9469
dai4 biao3 	代表	c=3 d=1.43535 t=9469
dai4 dao4 	帶到	c=1 d=0.416862 t=9469
dai4 de5 	帶得	c=0 d=0.00550232 t=9469
dai4 de5 zou3 	帶得走	c=1 d=0.055299 t=9469
dai4 guo4 qu4 	帶過去	c=1 d=0.203926 t=9469
dai4 hui4 	待會	c=2 d=1.4953 t=9469
dai4 lai2 	帶來	c=2 d=0.972926 t=9469
dai4 ti4 	代替	c=1 d=0.882497 t=9469
dan1 xin1 	擔心	c=1 d=0.0655462 t=9469
dan4 	但	c=73 d=5.51783 t=9469
dan4 dao4 	彈道	c=2 d=1.8883 t=9469
dan4 gao1 	蛋糕	c=0 d=0.066365 t=9469
dan4 shi5 	但是	c=4 d=1.47411 t=9469
dan4 wo3 	但我	c=2 d=0.618783 t=9469
dang1 	當	c=6 d=1.97164 t=9469
dang1 ran2 	當然	c=2 d=1.28965 t=9469
dang1 shi2 	當時	c=2 d=1.16295 t=9469
dang3 	檔	c=2 d=0.785475 t=9469
dao1 	刀	c=69 d=9.43485 t=9469
dao1 gong1 	刀工	c=1 d=0.771052 t=9469
dao1 jia4 	刀架	c=2 d=0.904837 t=9469
dao1 ren4 	刀刃	c=1 d=0.0146253 t=9469
dao3 	倒	c=1 d=0.814647 t=9469
dao3 chu1 	導出	c=1 d=0.946485 t=9469
dao3 lun4 	導論	c=1 d=0.918512 t=9469
dao3 ru4 	導入	c=1 d=0.965605 t=9469
dao3 xia4 	倒下	c=1 d=0.782705 t=9469
dao4 	到	c=30 d=3.61077 t=9469
dao4 di3 	到底	c=1 d=0.362402 t=9469
dao4 li3 	道理	c=1 d=0.909373 t=9469
dao4 mu4 	盜墓	c=1 d=0.0515605 t=9469
dao4 shi4 	倒是	c=2 d=1.55838 t=9469
de2 	得	c=2 d=0.831961 t=9469
de5 	地	c=2 d=0.843981 t=9469
de5 	的	c=455 d=20.8873 t=9469
de5 guo4 cheng2 	的過程	c=1 d=0.519442 t=9469
de5 ke4 	的課	c=1 d=0.680451 t=9469
dei3 	得	c=4 d=1.73423 t=9469
dei3 qu4 	得去	c=1 d=0.88692 t=9469
deng3 	等	c=7 d=1.09706 t=9469
deng3 dao4 	等到	c=2 d=0.722527 t=9469
deng3 deng3 	等等	c=1 d=0.496585 t=9469
deng3 ji2 	等級	c=6 d=1.97029 t=9469
deng3 jia4 jiao1 huan4 	等價交換	c=1 d=1 t=9469
deng3 wo3 	等我	c=3 d=1.88094 t=9469
deng3 yu2 	等於	c=1 d=0.591555 t=9469
di1 	低	c=4 d=1.51245 t=9469
di1 	滴	c=1 d=0.701173 t=9469
di1 deng3 	低等	c=1 d=0.66365 t=9469
di4 	地	c=1 d=0.697676 t=9469
di4 	的	c=1 d=0.831104 t=9469
di4 	第	c=1 d=0.0407622 t=9469
di4 di3 	地底	c=1 d=0.377192 t=9469
di4 di5 	弟弟	c=1 d=0.272532 t=9469
di4 er4 	第二	c=3 d=1.47799 t=9469
di4 er4 ge2 	第二格	c=1 d=0.0483156 t=9469
di4 er4 ge4 	第二個	c=1 d=0.726149 t=9469
di4 fang1 	地方	c=4 d=1.60372 t=9469
di4 lao2 	地牢	c=3 d=1.01105 t=9469
di4 lei2 	地雷	c=1 d=0.744532 t=9469
di4 si4 	第四	c=0 d=0.0286505 t=9469
di4 si4 ge2 	第四格	c=1 d=0.287941 t=9469
di4 tu2 	地圖	c=7 d=1.80051 t=9469
di4 xia4 	地下	c=2 d=0.443763 t=9469
di4 xia4 shi4 	地下室	c=1 d=0.594521 t=9469
di4 xing2 	地形	c=2 d=0.344728 t=9469
di4 yi1 	第一	c=1 d=0.951229 t=9469
di4 yi1 ge5 	第一個	c=2 d=1.54443 t=9469
di4 yi1 tang2 	第一堂	c=2 d=1.95123 t=9422
di4 yu4 	地獄	c=1 d=0.895834 t=9469
di4 yu4 bao3 lei3 	地獄堡壘	c=1 d=0.606531 t=9469
dian3 	點	c=15 d=3.26377 t=9469
dian4 ai4 	電愛	c=1 d=0.763379 t=9469
dian4 ji1 	電機	c=1 d=0.460704 t=9469
dian4 jing4 	電競	c=1 d=0.759572 t=9469
dian4 liang4 	電量	c=1 d=0.514274 t=9469
dian4 nao3 	電腦	c=5 d=2.87761 t=9469
dian4 suan4 	電算	c=1 d=0.726149 t=9469
diao1 ling2 	凋零	c=4 d=0.884493 t=9469
diao4 	掉	c=14 d=3.57161 t=9469
diao4 chu1 	掉出	c=1 d=0.767206 t=9469
diao4 de5 	掉的	c=1 d=0.955997 t=9469
